id,business_name,claimed,category,business_date,description,
1,Armstrong LLC,0,et,Fri Dec 20 2019 06:54:17 GMT-0800 (Pacific Standard Time),In aut est et qui modi. Error id quia. Deleniti dolor est. Dolorem temporibus ea ad.,
2,Hilpert Inc,0,eaque,Thu Dec 19 2019 15:46:32 GMT-0800 (Pacific Standard Time),Tempore impedit maxime dicta est et facilis et facere praesentium. Iure consectetur tempora dicta sit aut quo rerum. Voluptas aliquam modi culpa. Et porro suscipit similique repellat.,
3,Nitzsche Inc,1,architecto,Fri Dec 20 2019 03:52:57 GMT-0800 (Pacific Standard Time),Aut dignissimos harum corrupti. Non ducimus eum vel dolores. Deleniti ut possimus voluptas vitae animi. Veniam consectetur accusantium laboriosam ipsum debitis. Praesentium fugit dolor repellendus rerum quasi fuga sed.,
4,Cremin Inc,0,quam,Fri Dec 20 2019 08:24:36 GMT-0800 (Pacific Standard Time),Rerum laboriosam numquam fugit. Voluptas rem laboriosam aliquid culpa. Esse corporis consequatur quod. Numquam rerum recusandae sit ea culpa nostrum voluptas. Nostrum magnam beatae commodi et. Reiciendis maxime consequatur quidem non iusto adipisci occaecati dolore.,
5,D'Amore, Wintheiser and Jaskolski,0,numquam,Thu Dec 19 2019 17:50:00 GMT-0800 (Pacific Standard Time),Et expedita qui sit illo aut enim omnis maxime. Similique eius sit recusandae aut illum. Voluptate ut magnam voluptatem delectus.,
6,Wolff Inc,1,assumenda,Fri Dec 20 2019 11:03:35 GMT-0800 (Pacific Standard Time),Debitis asperiores unde. Architecto accusamus doloribus aperiam. Et iste et sint quos error. Sint ut ullam omnis. Temporibus veritatis eum et alias aut.,
7,Nolan and Sons,1,aliquid,Thu Dec 19 2019 15:35:05 GMT-0800 (Pacific Standard Time),Ipsam consectetur vitae. Amet dolores labore est corporis. Aut quia id sint neque ipsa laudantium repellat. Facilis qui tempore voluptatem dolores totam voluptates vitae totam quo. Ut sint repellendus. Tempora esse odit ratione eos facilis ea saepe.,
8,Kovacek - Mertz,0,dolorum,Thu Dec 19 2019 16:50:30 GMT-0800 (Pacific Standard Time),Ut exercitationem laudantium consequatur aut. Beatae autem dolorem aliquid facere quia. Animi unde nemo ullam cum quaerat voluptatem accusamus. Adipisci repellendus earum. Corporis id ducimus sapiente debitis voluptates molestiae sunt.,
9,Larkin, Wiza and Crona,0,et,Fri Dec 20 2019 09:53:04 GMT-0800 (Pacific Standard Time),Adipisci nemo debitis sit nam odio eum dolore neque alias. Cum modi sunt est qui. Ut provident totam. Id nemo qui suscipit ratione voluptas consectetur repellendus perferendis.,
10,Lowe and Sons,0,dolorum,Fri Dec 20 2019 13:00:49 GMT-0800 (Pacific Standard Time),Fugit culpa sint ullam vero sit natus aut hic. Laudantium aliquid voluptatum. Nihil debitis dolorem quo modi. Dicta quis necessitatibus qui perferendis hic repellat velit voluptates. Dolorem cum sint quis et sequi id voluptatem tempora et. Sunt pariatur minima in et voluptatem vel.,
